Item ID_tourist,Item_category_combined,Province,City,City_Sentiment_Score,Avg_City_Sentiment_Score,Popularity
A-56,5,The Eastern Province,Al Ahsa,0.8212494985960691,0.7697522176795508,0.79550085813781
A-57,5,The Eastern Province,Al Ahsa,0.833453670276775,0.7897114900544525,0.8115825801656138
A-58,6,Al Madinah Al Munawwarah Province,Madinah,0.7918739136248162,0.7217100137275924,0.7567919636762043
A-59,5,Makkah Al Mukarramah Province,Taif,0.8172884075411151,0.7632740643614849,0.7902812359513001
A-6,5,Al Madinah Al Munawwarah Province,Madinah,0.6637418104024602,0.5121567881239751,0.5879492992632176
A-60,5,Makkah Al Mukarramah Province,Taif,0.9543221018852788,0.9873853683902707,0.9708537351377747
A-61,1,Al Madinah Al Munawwarah Province,Madinah,0.6142732985693276,0.431253673394813,0.5227634859820702
A-62,4,Al Madinah Al Munawwarah Province,Madinah,0.7332280385078219,0.6257978107192386,0.6795129246135303
A-63,2,Riyadh Province,Riyadh,0.8983553951062977,0.8958548021418511,0.8971050986240744
A-64,2,Riyadh Province,Riyadh,0.8428098676293623,0.8050130521956056,0.8239114599124839
A-65,5,Riyadh Province,Riyadh,0.9166198689664393,0.9257253760269311,0.9211726224966852
A-66,0,Makkah Al Mukarramah Province,Jeddah,0.8609673753175558,0.834708688060438,0.8478380316889969
A-67,2,Riyadh Province,Riyadh,0.8336871016624327,0.7900932550096609,0.8118901783360468
A-68,1,Riyadh Province,Riyadh,0.8752339885011365,0.8580409741442527,0.8666374813226947
A-69,5,Aseer Province,Aseer,0.8650421179302046,0.8413727127175096,0.8532074153238571
A-7,6,Al Madinah Al Munawwarah Province,Madinah,0.7777978339350181,0.6986893358385899,0.7382435848868041
A-70,1,Al Madinah Al Munawwarah Province,Al Ula,0.7194645006016848,0.6032882779874779,0.6613763892945813
A-71,2,Tabuk Province,Tabuk,0.7249075188305033,0.6121900445850539,0.6685487817077786
A-72,2,Tabuk Province,Tabuk,0.8352587244283995,0.792663559920913,0.8139611421746562
A-73,5,Al Jawf Province,Dumat Al Jandal,0.8108771226099747,0.7527887492661616,0.7818329359380681
A-74,2,The Eastern Province,Tarout,0.650016713464367,0.4897101230000985,0.5698634182322327
A-75,2,Al Madinah Al Munawwarah Province,Madinah,0.65465971386549,0.4973035027121605,0.5759816082888253
A-76,2,Al Bahah Province,Al Bahah,0.8674343717965861,0.8452851163321312,0.8563597440643587
A-77,0,The Eastern Province,Jubail,0.9140994785399118,0.9216034115326447,0.9178514450362782
A-78,6,Makkah Al Mukarramah Province,Jeddah,0.8867963631501539,0.8769506216777463,0.8818734924139501
